"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.490747999E2,5.311181552E1,8.887209064E0,3.254786034E0,5.159463095E0,2.057474589E2,5.035365010E0,5.035365010E0
1.500747707E2,5.311177577E1,8.887178434E0,3.720687579E0,4.615202820E0,2.070395073E2,5.051867207E0,5.051867207E0
1.510747446E2,5.311173550E1,8.887129441E0,3.848706141E0,4.604850035E0,2.129897626E2,5.049773975E0,5.049773975E0
1.520747221E2,5.311168374E1,8.887104555E0,3.882929415E0,4.628805551E0,2.065178055E2,5.034288444E0,5.034288444E0
1.530746982E2,5.311164235E1,8.887074906E0,3.357643143E0,4.390705375E0,2.050195516E2,5.038882264E0,5.038882264E0
1.540746721E2,5.311160111E1,8.887051637E0,3.067548195E0,4.282089077E0,2.014419384E2,5.054358785E0,5.054358785E0
1.550746460E2,5.311155809E1,8.887015966E0,2.421775131E0,4.435102778E0,2.065332776E2,5.061042178E0,5.061042178E0
1.560746238E2,5.311152091E1,8.886973823E0,2.117009584E0,4.084212928E0,2.139911951E2,5.042490006E0,5.042490006E0
1.570746014E2,5.311147649E1,8.886939365E0,1.588224953E0,3.967491547E0,2.081645212E2,5.001131510E0,5.001131510E0
1.580745796E2,5.311145159E1,8.886903461E0,1.051120778E0,3.113238566E0,2.174567970E2,4.984723584E0,4.984723584E0
1.590745591E2,5.311141650E1,8.886853048E0,8.588807210E-1,3.487055157E0,2.266274490E2,4.979933115E0,4.979933115E0
1.600745372E2,5.311137206E1,8.886820634E0,1.894377816E0,3.609036821E0,2.217369928E2,4.991875664E0,4.991875664E0
1.610745173E2,5.311132561E1,8.886792540E0,2.459716029E0,4.141386554E0,2.138596060E2,4.998651958E0,4.998651958E0
1.620745003E2,5.311129669E1,8.886769493E0,1.572762480E0,3.564940293E0,2.130574417E2,5.009242848E0,5.009242848E0
1.630744770E2,5.311127385E1,8.886750111E0,1.970502768E0,2.546861246E0,2.108797540E2,5.003282728E0,5.003282728E0
1.640744568E2,5.311124021E1,8.886722688E0,1.606207511E0,2.504451551E0,2.091920678E2,4.992621407E0,4.992621407E0
1.650744383E2,5.311120225E1,8.886684920E0,1.320605254E0,3.267571400E0,2.097282425E2,5.008447906E0,5.008447906E0
1.660744203E2,5.311116479E1,8.886650489E0,2.416365466E0,3.643066924E0,2.099330976E2,5.005627500E0,5.005627500E0
1.670744010E2,5.311113825E1,8.886637760E0,6.560488036E-1,2.984165463E0,2.036508360E2,5.011312775E0,5.011312775E0
1.680743824E2,5.311109261E1,8.886589687E0,1.694179602E0,3.586502640E0,2.072764035E2,5.016979068E0,5.016979068E0
1.690743637E2,5.311105099E1,8.886536368E0,1.097118359E0,4.273615792E0,2.125645001E2,5.020556399E0,5.020556399E0
1.700743462E2,5.311100876E1,8.886481084E0,1.073513753E0,4.374385567E0,2.161069789E2,5.017029795E0,5.017029795E0
1.710743284E2,5.311097034E1,8.886441948E0,5.770780807E-1,4.203348484E0,2.162448837E2,5.027310810E0,5.027310810E0
1.720743105E2,5.311093902E1,8.886407920E0,1.967224026E0,3.907865348E0,2.152013364E2,5.048341437E0,5.048341437E0
1.730742931E2,5.311090678E1,8.886382848E0,2.116808600E0,3.467942114E0,2.105161283E2,5.078601591E0,5.078601591E0
1.740742780E2,5.311086932E1,8.886347187E0,1.447158984E0,3.206163460E0,2.126159096E2,5.077387172E0,5.077387172E0
1.750742635E2,5.311082708E1,8.886304046E0,1.470514134E0,3.283647553E0,2.133395994E2,5.079412320E0,5.079412320E0
1.760742434E2,5.311078869E1,8.886263159E0,1.414007896E0,3.108746403E0,2.138112049E2,5.062979925E0,5.062979925E0
1.770742258E2,5.311076357E1,8.886229966E0,1.908296769E0,2.498310101E0,2.150300720E2,5.061920686E0,5.061920686E0
1.780742099E2,5.311072867E1,8.886184169E0,2.038323715E0,2.668065515E0,2.197885377E2,5.058406606E0,5.058406606E0
1.790742300E2,5.311068239E1,8.886156936E0,2.211106043E0,2.937241352E0,2.071459302E2,5.060522254E0,5.060522254E0
1.800741811E2,5.311064307E1,8.886119675E0,1.635370007E0,3.001332322E0,2.076323564E2,5.069729505E0,5.069729505E0
1.810741599E2,5.311060513E1,8.886087820E0,2.506477151E0,3.087275186E0,2.059064493E2,5.087485318E0,5.087485318E0
1.820741450E2,5.311056224E1,8.886042820E0,2.133923800E0,3.385002026E0,2.096495977E2,5.079354625E0,5.079354625E0
1.830741328E2,5.311051994E1,8.886005715E0,1.624998328E0,3.413254346E0,2.119337271E2,5.061857903E0,5.061857903E0
1.840741168E2,5.311047323E1,8.885965222E0,2.161551948E0,4.047814192E0,2.130643446E2,5.072275169E0,5.072275169E0
1.850740973E2,5.311044151E1,8.885933209E0,7.349181129E-1,3.751510178E0,2.159659721E2,5.100250003E0,5.100250003E0
1.860740805E2,5.311039746E1,8.885896071E0,2.735784511E0,3.699711615E0,2.120988020E2,5.068421069E0,5.068421069E0
